node,title,subject
1128,Immigration reform : status of implementing employer sanctions after one year : report to the Congress / United States General Accounting Office.,illegal aliens--employment--united states.|emigration and immigration law--united states.
1129,A profile of the undocumented Mexican woman in the United States [electronic resource] / by Francisca Flores Beverly.,"illegal aliens--united states.|mexican american women.|foreign workers, mexican--united states."
1130,"Intimate migrations : gender, family, and illegality among transnational Mexicans / Deborah A. Boehm.",mexicans--united states--social conditions.|mexican americans--social conditions.|immigrants--united states--social conditions.|transnationalism.|sex role--united states.|mexican american families.|immigrant families--united states.|illegal aliens--united states.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.
1131,The first victim [electronic resource] / Ridley Pearson.,"boldt, lou (fictitious character)--fiction.|police--washington (state)--seattle--fiction.|matthews, daphne (fictitious character)--fiction.|women television journalists--fiction.|illegal aliens--fiction.|seattle (wash.)--fiction."
1132,The samaritan bueno : a novel / Jack Weyland.,mormons--fiction.|christian life--mormon authors--fiction.|illegal aliens--fiction.
1133,Post-bracero undocumented Mexican immigration to the United States and political recomposition / by Estevan Tim Flores.,mexicans--united states.|illegal aliens--united states.|mexican americans--politics and government.|united states--emigration and immigration.|mexico--emigration and immigration.
1134,"Essays on legal and illegal immigration / Susan Pozo, editor.",emigration and immigration law--united states--congresses.|illegal aliens--united states--congresses.|emigration--united--congresses|illegal--united--congresses
1135,Policies contributing to the solution of illegal large-scale migration in Central Europe / by Ivo Musil.,"illegal aliens--europe, central.|refugees--europe, central.|asylum, right of--europe, central.|europe, central--emigration and immigration."
1136,"And injustice for all : workers' lives in the reconstruction of New Orleans / Advancement Project, National Immigration Law Center, New Orleans Worker Justice Coalition.","illegal aliens--united states.|emigration and immigration law--united states.|hurricane katrina, 2005--political aspects.|hurricane katrina, 2005--social aspects.|hurricane katrina, 2005--economic aspects.|hurricanes--economic aspects--louisiana--new orleans.|african americans--louisiana--new orleans.|mexicans--louisiana--new orleans.|united states--race relations--political aspects."
1137,"Allegations of violence along the United States-Mexico border [electronic resource] : hearing before the Subcommittee on Human Rights and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred First Congress, second session, April 18, 1990.",violence--mexican-american border region.|illegal aliens--mexican-american border region.|immigration enforcement--mexican-american border region.|u.s. border patrol.
1138,Mass exodus : the story of an illegal immigrant / Carlos A. Perez.,mexicans--united states--fiction.|illegal aliens--united states--fiction.|mexican americans--mexican-american border region--fiction.
1139,Illegal immigration [electronic resource] : President's program.,illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.
1140,"Administrative decisions under employer sanctions, unfair immigration-related employment practices and civil penalty document fraud laws of the United States.","foreign workers--legal status, laws, etc.--united states--periodicals.|emigration and immigration law--united states--periodicals.|illegal aliens--employment--united states--periodicals.|foreign worker certification--united states--periodicals.|electronic journals."
1141,"Immigration and illegal aliens : burden or blessing? / editors, Mark A. Siegel, Nancy R. Jacobs, Patricia A. Von Brook.",illegal aliens--united states.|illegal aliens--united states--statistics.|united states--emigration and immigration.|united states--statistics.
1142,Immigration conflict [electronic resource] : should states crack down on unlawful aliens? / [by Kenneth Jost].,illegal aliens--united states--public opinion.|illegal aliens--government policy--united states.|emigration and immigration law--united states.
1143,Undocumented Latino college students [ressource électronique] : their socioemotional and academic experiences / William Pérez and Richard Douglas Cortés.,illegal aliens--education (higher)--united states.|hispanic americans--education (higher)|hispanic americans--education (higher)--social aspects.|hispanic americans--social conditions.|hispanic americans--social life and customs.
1144,Inmigración limítrofe ilegal en la Argentina [Texte imprimé] / Susana María Sassone.,illegal aliens--argentina.|emigration and immigration law--argentina.
1145,Vulnerability in the European law on asylum / Laurence de Bauche.,"emigration and immigration law--european union countries.|illegal aliens--european union countries.|asylum, right of--european union countries."
1146,Labour migration and the recent financial crisis in Asia / Organisation for Economic Co-operation and Development.,"foreign workers--asia--congresses.|illegal aliens--asia--congresses.|asia--emigration and immigration--congresses.|labor market--asia--congresses.|labor mobility--asia--congresses.|labor economics--asia--congresses.|labor unions--asia--congresses.|foreign workers--legal status, laws, etc.--asia--congresses.|financial crises--asia--congresses.|asia--economic conditions--1945---congresses."
1147,"Who gets to stay? : refugees, asylum seekers, and unauthorized arrivals in Australia / Tess Rod &amp; Ron Brunton.","refugees--australia.|refugees--government policy--australia.|asylum, right of--australia.|illegal aliens--australia.|emigration and immigration law--australia.|australia--emigration and immigration--government policy."
1148,Waxwings [electronic resource] / Jonathan Raban.,british--washington (state)--fiction.|repairing trades--fiction.|illegal aliens--fiction.|immigrants--fiction.|authors--fiction.|seattle (wash.)--fiction.
1149,"Immigration and Naturalization Service : Employment Verification Pilot project / United States General Accounting Office, General Government Division.",foreign worker certification--united states.|illegal aliens--employment--united states.|united states.--immigration and naturalization service--automation.
1150,"Cumulative migrant deaths in California and the west desert of Arizona 2000-2004 : also shown: cellular phone coverage, United States Border Patrol rescue beacons, Humane Borders, Inc. water stations in Arizona and Water Station, Inc. water stations in California / combined project between Humane Borders, Inc. [and] Water Station, Inc.","immigrants--mortality--california, southern--maps.|immigrants--mortality--arizona--maps.|illegal aliens--mortality--california, southern--maps.|illegal aliens--mortality--arizona--maps.|drinking water--health aspects--california, southern--maps.|drinking water--health aspects--arizona--maps."
1151,"Miscellaneous immigration and claims issues : Blackhawk friendly fire incident payments ; removal of aliens associated with terrorists ; increasing penalties for alien smuggling ; and asylum in Guam : hearing before the Subcommittee on Immigration and Claims of the Committee on the Judiciary, House of Representatives, One Hundred Sixth Congress, first session, on H.R. 456, H.R. 1745, H.R. 238, and H.R. 945, May 18, 1999.","black hawk friendly fire incident, iraq, 1994.|illegal aliens--united states.|terrorism--united states--prevention.|deportation--united states.|asylum, right of--guam.|emigration and immigration law--united states."
1152,The economic logic of illegal immigration / Gordon H. Hanson.,illegal aliens--economic aspects--united states.|foreign workers--economic aspects--united states.|united states--emigration and immigration--economic aspects.|united states--emigration and immigration--government policy.
1153,Notre centre de rétention / Ahmed Alimzé.,alien detention centers--france.|illegal aliens--france.
1154,La légalité de la lutte contre l'immigration irrégulière par l'Union européenne / sous la direction de Laurence Dubin.,"emigration and immigration law--european union countries.|illegal aliens--legal status, laws, etc.--european union countries."
1155,Illegal immigrants and developments in employment in the labour markets of the EU / Jan Hjarnø.,labor market--european union countries.|foreign workers--european union countries.|illegal aliens--european union countries.
1156,Illegal aliens on the run / by Kwaku Addo.,illegal aliens--nigeria.
1157,"In search of the African Queen [videorecording] : a people-smuggling operation / produced by Wild Heart Productions Inc. ; in association with TVOntario ; producers, directors, Katerina Cizek &amp; Catherine Bainbridge.","refugees.|refugees--legal status, laws, etc.|illegal aliens.|stowaways.|asylum, right of.|tamil (indic people)--economic conditions.|sri lanka--emigration and immigration.|africa--emigration and immigration."
1158,Crossing the wire [electronic resource] / Will Hobbs.,
1159,Illegal / Bettina Restrepo.,illegal aliens--juvenile fiction.|mexicans--texas--juvenile fiction.|texas--juvenile fiction.|young adult fiction.
1160,"Undocumented Mexican immigration, 1900-1990 : critical analysis and the policy debate / by Sandra Spalding.",illegal aliens--government policy--united states.|foreign workers--united states.|united states--emigration and immigration.|mexico--emigration and immigration.
1161,Illegal immigration and the labor market [electronic resource] / by Philip L. Martin.,illegal aliens--employment--united states.
1162,"Deadly consequences of illegal alien smuggling [electronic resource] : hearing before the Subcommittee on Immigration, Border Security, and Claims of the Committee on the Judiciary, House of Representatives, One Hundred Eighth Congress, first session, June 24, 2003.",illegal aliens--government policy--united states.|border patrols--mexican-american border region.|smuggling--mexican-american border region--prevention.
1163,Dreamers : an immigrant generation's fight for their American dream / Eileen Traux.,illegal alien children--government policy--united states.|children of illegal aliens--education--law and legislation--united states.|united states--emigration and immigration--social aspects.|illegal aliens--education (higher)--united states.
1164,Illegal immigration : a reference handbook / Michael C. LeMay.,illegal aliens--united states.|illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.
1165,Unauthorized migration : an economic development response : report / of the Commission for the Study of International Migration and Cooperative Economic Development.,illegal aliens--united states.|foreign workers--united states.|united states--foreign economic relations--mexico.|mexico--foreign economic relations--united states.|united states--foreign economic relations--central america.|central america--foreign economic relations--united states.|united states--foreign economic relations--caribbean area.|caribbean area--foreign economic relations--united states.
1166,"Intimate migrations [ressource électronique] : gender, family, and illegality among transnational Mexicans / Deborah A. Boehm.",mexicans--united states--social conditions.|mexican americans--social conditions.|immigrants--united states--social conditions.|transnationalism.|sex role--united states.|mexican american families.|immigrant families--united states.|illegal aliens--united states.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.
1167,"Invisible nation / produced by Investigative Productions, Inc. in association with TVOntario ; director, writer, Lindalee Tracy ; producer, Peter Raymont.",illegal aliens--canada.|emigration and immigration law--canada.|deportation--canada.
1168,"Operation Gatekeeper [ressource électronique] : the rise of the ""illegal alien"" and the remaking of the U.S.-Mexico boundary / Joseph Nevins.",illegal aliens--government policy--united states.|border patrols--mexican-american border region.|operation gatekeeper (u.s.)|u.s. border patrol.
1169,Heat.,brothers--new york (state)--new york--fiction.|orphans--new york (state)--new york--fiction.|illegal aliens--fiction.|cubans--united states--fiction.|little league baseball--fiction.|child welfare--fiction.|new york (n.y.)--fiction.
1170,Immigration residency citizenship.,illegal aliens--united states--miscellanea.|emigration and immigration law--united states--miscellanea.|citizenship--united states--miscellanea.
1171,"Border security, 2013 : hearing before the Committee on Homeland Security and Governmental Affairs, United States Senate, One Hundred Thirteenth Congress, first session.",border security--united states.|border security--law and legislation--united states.|emigration and immigration law--united states.|illegal aliens--prevention--government policy--united states.|drug traffic--prevention--government policy--united states.|terrorism--united states--prevention.|interagency coordination--united states.|citizenship--united states.|united states--emigration and immigration--economic aspects.|u.s. customs and border protection.|united states.--department of homeland security.
1172,"Public law 99-603--Nov. 6, 1986.",illegal aliens--united states.|emigration and immigration law--united states.
1173,"Hopes, needs, rights, and laws : how do governments and citizens manage migration and settlement? / by Ceri Oeppen.","immigrants--social conditions.|immigrants--services for.|immigrants--civil rights.|illegal aliens.|asylum, right of.|emigration and immigration--social aspects.|emigration and immigration--government policy."
1174,"Intimate migrations [ressource électronique] : gender, family, and illegality among transnational Mexicans / Deborah A. Boehm.",mexicans--united states--social conditions.|mexican americans--social conditions.|immigrants--united states--social conditions.|transnationalism.|sex role--united states.|mexican american families.|immigrant families--united states.|illegal aliens--united states.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.
1175,Undocumented aliens and crime : the case of San Diego County / Daniel Wolf.,alien criminals--california--san diego county.|illegal aliens--california--san diego county--social conditions.
1176,The Maldonado miracle [electronic resource] / Theodore Taylor.,illegal aliens--juvenile fiction.|mexicans--united states--juvenile fiction.|migrant labor--united states--juvenile fiction.
1177,A visualization and simulation tool that will generate effective patrolling strategies to protect the U.S. borders from illegal intrusion using game theoretic methods and models / by Eric Gutierrez.,border patrols--mexican-american border region.|illegal aliens--mexican-american border region.|u.s. border patrol.|genetic algorithms.|game theory.|resource allocation.
1178,7 soles 7 dias 7 noches [videorecording] = testigo ilegal / Diamante Films &amp; DV24 Production ; wrriten and directed by Carlos Bido.,"murderers--identification--drama.|murder--investigation--drama.|illegal aliens--mexican-american border region--drama.|foreign workers, mexican--mexican-american border region--drama.|united states--emigration and immigration--drama.|mexico--emigration and immigration--drama.|dvd-video discs."
1179,"Immigration and illegal aliens : burden or blessing? / editors, Donna R. Plesser, Mark A. Siegel, Carol D. Foster.",illegal aliens--united states--statistics.|immigrants--united states--statistics.|united states--emigration and immigration--statistics.
1180,Globalization and non-traditional security issues : a study of human and drug trafficking in East Asia / Ralf Emmers.,transnational crime.|smuggling--east asia.|drug traffic--east asia.|foreign workers.|illegal aliens.|globalization.|national security.
1181,Examining the DREAM act through the eyes of undocumented Hispanic college students / Delis Cuellar.,illegal aliens--education--united states.|mexicans--education--united states.|college students--united states--social conditions.
1182,"Moi, Drissa, immigré africain : [l'identité africaine aujourd'hui] / Drissa Bamba ; récit recueilli et transcrit par André Samson.","bamba, drissa,--1960-|immigrants--france--biography.|africans--france--biography.|immigrants--france--ethnic identity.|africans--france--social conditions.|immigrants--cultural assimilation--france.|social integration--france.|illegal aliens--france."
1183,Traitors / by Andrew Snaden.,drug traffic--fiction.|illegal aliens--fiction.|smuggling--fiction.
1184,"A role for government policy and sunspots in explaining endogenous fluctuations in illegal immigration [electronic resource] / Mark G. Guzman, Joseph H. Haslag, Pia M. Orrenius.",illegal aliens--united states--econometric models.
1185,"Intimate migrations [ressource électronique] : gender, family, and illegality among transnational Mexicans / Deborah A. Boehm.",mexicans--united states--social conditions.|mexican americans--social conditions.|immigrants--united states--social conditions.|transnationalism.|sex role--united states.|mexican american families.|immigrant families--united states.|illegal aliens--united states.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.
1186,"880-02 Murād, Murād : lā shayʼ takhsiruh suwá ḥayātak / Suʻād al-ʻĀmirī ; tarjamat Saḥar Tawfīq.","amiry, suad--travel.|foreign workers, arab--israel.|palestinian arabs--employment--israel.|bus travel--israel.|palestinian arabs--social conditions--21st century.|arab-israeli conflict--1993-"
1187,"The labor market in the central California raisin industry : five years after IRCA / by Andrew Alvarado, Herbert O. Mason, Gary Riley.",migrant agricultural laborers--california.|raisin industry--employees--supply and demand--california.|foreign workers--california.|illegal aliens--california.
1188,"Women, borders, and violence : current issues in asylum, forced migration and trafficking / Sharon Pickering.",women illegal aliens--social conditions.|border security--case studies.|freedom of movement--sex differences.
1189,"Joe's law : America's toughest sheriff takes on illegal immigration, drugs, and everything else that threatens America / Joe Arpaio and Len Sherman.","arpaio, joe,--1932-|sheriffs--arizona--maricopa county--biography.|police--united states--biography.|drug enforcement agents--united states--biography.|corrections--arizona--maricopa county.|prisons--arizona--maricopa county.|immigration enforcement--arizona--maricopa county.|illegal aliens--united states.|drug abuse--united states."
1190,"Migrantes allá y acá : mujeres y hombres en Estados Unidos y el noreste de México / Óscar Misael Hernández-Hernández, María Elena Ramos Tovar coordinadores.",mexicans--united states--social conditions.|mexican american families.|mexicans--family relationships--united states.|illegal aliens--family relationships--united states.|deportees--family relationships--mexico.|deportees--mexico--social conditions.|children of immigrants--family relationships--united states.|children of illegal aliens--family relationships--united states.
1191,The other side of immigration [videorecording] / a film by Roy Germano ; written and directed by Roy Germano ; produced by Roy Germano.,"immigrants--mexican-american border region.|mexico--emigration and immigration--economic aspects--21st century.|mexico--emigration and immigration--21st century.|illegal aliens--united states--interviews.|mexicans--interviews.|mexicans--economic conditions--21st century.|mexicans--social conditions--21st century.|foreign workers, mexican--united states."
1192,Why does immigration divide America? : public finance and political opposition to open borders / by Gordon Hanson.,united states--emigration and immigration--economic aspects.|united states--emigration and immigration--government policy.|immigrants--services for--united states--finance.|illegal aliens--services for--united states--finance.
1193,Notes on the conceptualization of contemporary Mexican immigrant settlements in the United States / Christian Zlolniski.,mexico--emigration and immigration.|united states--emigration and immigration.|mexicans--united states--social conditions.|illegal aliens--united states--social conditions.
1194,Brutality unchecked : human rights abuses along the U.S. border with Mexico.,human rights--mexican-american border region.|border patrols--united states.|illegal aliens--united states.|united states.--immigration and naturalization service.
1195,"Officers need backup [electronic resource] : the role of state and local police in immigration law enforcement / by James R. Edwards, Jr.",illegal aliens--government policy--united states.|law enforcement--united states.|united states.--immigration and naturalization service.|emigration and immigration law--united states.
1196,"Addressing the immigration status of illegal immigrants brought to the United States as children : hearing before the Subcommittee on Immigration and Border Security of the Committee on the Judiciary, House of Representatives, One Hundred Thirteenth Congress, first session, July 23, 2013.","emigration and immigration law--united states.|children of illegal aliens--legal status, laws, etc.--united states.|illegal aliens--united states.|children of illegal aliens--education (higher)--united states.|citizenship--united states."
1197,"And injustice for all : workers' lives in the reconstruction of New Orleans / Advancement Project, National Immigration Law Center, New Orleans Worker Justice Coalition.","illegal aliens--united states.|emigration and immigration law--united states.|hurricane katrina, 2005--political aspects.|hurricane katrina, 2005--social aspects.|hurricane katrina, 2005--economic aspects.|hurricanes--economic aspects--louisiana--new orleans.|african americans--louisiana--new orleans.|mexicans--louisiana--new orleans.|united states--race relations--political aspects."
1198,"Anti-discrimination provision of H.R. 3080 [electronic resource] : joint hearing before the Subcommittee on Immigration, Refugees, and International Law of the Committee on the Judiciary, House of Representatives and Subcommittee on Immigration and Refugee Policy of the Committee on the Judiciary, United States Senate, Ninety-ninth Congress, first session, on H.R. 3080 ... October 9, 1985.","foreign workers--legal status, laws, etc.--united states.|discrimination in employment--law and legislation--united states.|illegal aliens--united states."
1199,The inside story [videorecording].,villawood immigration detention centre.|refugees--australia.|illegal aliens--australia.
1200,Recommendations for 1988 : report to the Colorado General Assembly / Joint Review Committee for the Medically Indigent/Illegal Aliens.,"poor--medical care--law and legislation--colorado.|illegal aliens--law and legislation--colorado.|translators--law and legislation--colorado.|bills, legislative--colorado."
1201,La migración nacional e internacional de los oaxaqueños.,oaxaca (mexico : state)--emigration and immigration.|illegal aliens--united states.|mexicans--united states.|united states--emigration and immigration.
1202,Immigrazione e criminalità in Italia / Marzio Barbagli.,alien criminals--italy.|illegal aliens--italy.|italy--emigration and immigration.
1203,"Comprehensive immigration reform [electronic resource] : the future of undocumented immigrant students : hearing before the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law of the Committee on the Judiciary, House of Representatives, One Hundred Tenth Congress, first session, May 18, 2007.","illegal aliens--education (higher)--government policy--united states.|students, foreign--legal status, laws, etc.--united states.|universities and colleges--residence requirements--united states.|tuition--government policy--united states--states."
1204,"And injustice for all : workers' lives in the reconstruction of New Orleans / Advancement Project, National Immigration Law Center, New Orleans Worker Justice Coalition.","illegal aliens--united states.|emigration and immigration law--united states.|hurricane katrina, 2005--political aspects.|hurricane katrina, 2005--social aspects.|hurricane katrina, 2005--economic aspects.|hurricanes--economic aspects--louisiana--new orleans.|african americans--louisiana--new orleans.|mexicans--louisiana--new orleans.|united states--race relations--political aspects."
1205,Organised crime and migrant trafficking : Australia and the Asia-Pacific / Andreas Schloenhardt.,illegal aliens--australia.|organized crime--australia.|organized crime--asia.|organized crime--pacific area.|smuggling--australia.|smuggling--asia.|smuggling--pacific area.|australia--emigration and immigration.
1206,"Comprehensive immigration reform : faith-based perspectives : hearing before the Subcommittee on Immigration, Refugees and Border Security of the Committee on the Judiciary, United States Senate, One Hundred Eleventh Congress, first session, October 8, 2009.",united states--emigration and immigration--government policy.|united states--emigration and immigration--religious aspects.|religious institutions--political activity--united states.|illegal aliens--government policy--united states.
1207,National insecurities : immigrants and U.S. deportation policy since 1882 / Deirdre M. Moloney.,"united states--emigration and immigration--government policy--history.|immigrants--united states--social conditions.|women immigrants--legal status, laws, etc.--united states.|illegal aliens--government policy--united states--history.|deportation--united states--history."
1208,"Foreign domestic workers in Sabah, East Malaysia / by Dayang Suria Muliah.",women household employees--malaysia--sabah--social conditions--21st century.|women foreign workers--malaysia--sabah--social conditions--21st century.|illegal aliens--malaysia--sabah--social conditions--21st century.
1209,"880-01 Ugolovnai͡a otvetstvennostʹ za nezakonnui͡u vydachu pasporta grazhdanina RF i vnesenie zavedomo lozhnykh svedeniĭ v dokumenty, povlekshee nezakonnoe priobretenie grazhdanstva RF : monografii͡a / L.A. Bukalerova, M.A. Belova.",illegal aliens--russia (federation)--identification.|false certification--russia (federation)|passports--forgeries--russia (federation)|emigration and immigration law--russia (federation)--criminal provisions.
1210,7 soles 7 dias 7 noches [videorecording] = testigo ilegal / Diamante Films &amp; DV24 Production ; wrriten and directed by Carlos Bido.,"murderers--identification--drama.|murder--investigation--drama.|illegal aliens--mexican-american border region--drama.|foreign workers, mexican--mexican-american border region--drama.|united states--emigration and immigration--drama.|mexico--emigration and immigration--drama.|dvd-video discs."
1211,Return to sender [electronic resource - Digital audiobook] / Julia Alvarez.,
1212,The high cost of cheap labor [electronic resource] : illegal immigration and the federal budget / by Steven A. Camarota.,immigrants--united states--economic conditions.|illegal aliens--united states--economic conditions.|united states--emigration and immigration--economic aspects.|united states--emigration and immigration--government policy.
1213,Leaving Tangier [electronic resource] / Tahar Ben Jelloun ; translated from the French by Linda Coverdale.,illegal aliens--spain--fiction.|moroccans--spain--fiction.|gay men--spain--fiction.|despair--fiction.|moroccans--morocco--tangier--social conditions--fiction.
1214,Everyday illegal : when policies undermine immigrant families / Joanna Dreby.,children of immigrants--united states--case studies.|illegal aliens--united states--case studies.|immigrants--family relationships--united states--case studies.|united states--emigration and immigration--social aspects.
1215,"The impact of illegal immigration on the criminal justice system [microform] / Susan Pennell, Christine Curtis, Jeff Tayman.","criminal justice, administration of--california--san diego.|criminal justice, administration of--texas--el paso.|illegal aliens--california--san diego.|illegal aliens--texas--el paso."
1216,Cultural attitudes as the basis for law and order [microform] : failure to address the human rights of foreign women in Japan's sex industry / by Jason R. Keller.,"foreign workers, asian--japan.|sex-oriented businesses--japan.|prostitutes--civil rights--japan.|illegal aliens--employment--japan.|race discrimination--japan."
1217,Topics for the 81st Legislature.,"taxation--texas.|illegal aliens--texas.|criminal justice, administration of--texas.|public welfare--texas.|higher education and state--texas.|educational law and legislation--texas.|transportation and state--texas.|energy policy--texas.|domestic relations--texas.|financial institutions--law and legislation--texas.|texas--appropriations and expenditures.|hurricane ike, 2008."
1218,"Border watch : cultures of immigration, detention and control / Alexandra Hall.",immigration enforcement--great britain.|great britain--emigration and immigration--government policy--history--21st century.|alien detention centers--great britain.|illegal aliens--great britain.
1219,8 USC 1324 ... proceeding.,"emigration and immigration law--united states--cases.|foreign workers--legal status, laws, etc.--united states--cases.|illegal aliens--employment--united states--cases.|foreign worker certification--united states--cases."
1220,Cross border migration in Southern Africa : mission report / compiled by Jackie Davies.,"migrant labor--africa, southern.|illegal aliens--africa, southern.|brain drain--africa, southern."
1221,"Recommended principles and guidelines on human rights and human trafficking : commentary / United Nations, Office of the High Commissioner for Human Rights.",human trafficking.|human smuggling.|human rights.|illegal aliens.|emigration and immigration.|transnational crime.
1222,Metropolitan labor markets and earnings attainment : the effects of undocumented immigration / Frank D. Bean and B. Lindsay Lowell.,foreign workers--united states.|wages--united states.|illegal aliens--united states.|labor supply--united states.
1223,Chicano political elite perceptions of the undocumented worker [electronic resource] : an empirical analysis / by Rodolfo O. de la Garza.,"mexican americans--attitudes.|foreign workers, mexican--united states.|mexican americans--politics and government.|illegal aliens--united states."
1224,"Cumulative migrant deaths in California and the west desert of Arizona 2000-2004 : also shown: cellular phone coverage, United States Border Patrol rescue beacons, Humane Borders, Inc. water stations in Arizona and Water Station, Inc. water stations in California / combined project between Humane Borders, Inc. [and] Water Station, Inc.","immigrants--mortality--california, southern--maps.|immigrants--mortality--arizona--maps.|illegal aliens--mortality--california, southern--maps.|illegal aliens--mortality--arizona--maps.|drinking water--health aspects--california, southern--maps.|drinking water--health aspects--arizona--maps."
1225,"Unaccompanied alien children : an overview / Lisa Seghetti, Alison Siskin, Ruth Ellen Wasem.","unaccompanied immigrant children--legal status, laws, etc.--united states.|unaccompanied immigrant children--services for--united states.|illegal aliens--united states.|united states--emigration and immigration--government policy."
1226,Unlawful entry / Jo Bannister.,illegal aliens--mexico--fiction.|smuggling--mexico--fiction.|mexico--emigration and immigration--fiction.|united states--emigration and immigration--fiction.
1227,"Consular identification cards [microform] : domestic and foreign policy implications, the Mexican case, and related legislation / Andorra Bruno, K. Larry Storrs.",identification cards--united states.|identification cards--mexico.|illegal aliens--united states.|united states--emigration and immigration--government policy.|mexico--emigration and immigration--government policy.|false personation--united states.
1228,"Immigration emergency legislation [electronic resource] : hearing before the Subcommittee on Immigration and Refugee Policy of the Committee on the Judiciary, United States Senate, Ninety-eighth Congress, first session, on S. 1725 ... and S. 1983 ... Miami, Florida, October 28, 1983.",emigration and immigration law--united states.|illegal aliens--united states.|executive power--united states.
1229,"Immigrant protest : politics, aesthetics, and everyday dissent / edited by Katarzyna Marciniak and Imogen Tyler.",immigrants--political activity.|illegal aliens--political activity.|protest movements.|immigrants--political activity--case studies.|illegal aliens--political activity--case studies.|protest movements--case studies.|electronic books.
1230,"The shadow economy [electronic resource] : an international survey / Friedrich Schneider, Dominik H. Enste.",informal sector (economics)|business enterprises--corrupt practices.|commercial crimes.|tax evasion.|illegal aliens.|welfare fraud.|fraud.
1231,Statement of position regarding the administration's undocumented alien legislative proposal [electronic resource].,illegal aliens--government policy--united states.|illegal aliens--united states.|emigration and immigration law--united states.
1232,Colombianos del C ... : vida y tragedia de los indocumentados colombianos / Javier Auqué Lara.,illegal aliens--venezuela.|colombians--venezuela.
1233,"Legal, economic and moral implications of the proposed repeal of Utah's in-state tuition benefits for undocumented immigrants / by Levi Earl Jones.",illegal aliens--education (higher)--utah.|tuition--law and legislation--utah.
1234,"Cumulative migrant deaths in California and the west desert of Arizona 2000-2004 : also shown: cellular phone coverage, United States Border Patrol rescue beacons, Humane Borders, Inc. water stations in Arizona and Water Station, Inc. water stations in California / combined project between Humane Borders, Inc. [and] Water Station, Inc.","immigrants--mortality--california, southern--maps.|immigrants--mortality--arizona--maps.|illegal aliens--mortality--california, southern--maps.|illegal aliens--mortality--arizona--maps.|drinking water--health aspects--california, southern--maps.|drinking water--health aspects--arizona--maps."
1235,Due process denied [electronic resource] : detentions and deportations in the United States / Tanya Golash-Boza.,illegal aliens--united states.|immigration enforcement--united states.|deportation--united states.
1236,"Undocumented migration to the United States [electronic resource] : IRCA and the experience of the 1980s / edited by Frank D. Bean, Barry Edmonston, and Jeffrey S. Passel.",illegal aliens--united states.|united states--emigration and immigration.|united states.--immigration reform and control act of 1986.
1237,"In search of the African Queen [videorecording] : a people-smuggling operation / produced by Wild Heart Productions Inc. ; in association with TVOntario ; producers, directors, Katerina Cizek &amp; Catherine Bainbridge.","refugees.|refugees--legal status, laws, etc.|illegal aliens.|stowaways.|asylum, right of.|tamil (indic people)--economic conditions.|sri lanka--emigration and immigration.|africa--emigration and immigration."
1238,"The provision of health care services to the undocumented population in Bexar County, Texas / Melissa Chabrán, Alyse Forcellina, and Valerie Spinelli.",illegal aliens--medical care--texas--bexar county.|immigrants--medical care--texas--bexar county.|medical care--texas--bexar county.
1239,Human rights [ressource électronique] : the U.S.-Mexico experience / edited by William Paul Simmons and Carol Mueller.,"human rights--mexico.|criminal justice, administration of--mexico.|illegal aliens--united states--social conditions.|mexico--foreign relations--united states.|united states--foreign relations--mexico."
1240,The Republican party and immigration politics : from Proposition 187 to George W. Bush / Andrew Wroe.,illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.|illegal aliens--government policy--california.|california--emigration and immigration--government policy.|republican party (u.s. : 1854- )
1241,"Estimating the undocumented population : a ""group answers"" approach to surveying foreign-born respondents : report to the Subcommittee on Terrorism, Technology and Homeland Security, Committee on the Judiciary, U.S. Senate / United States Government Accountability Office.",illegal aliens--united states--statistical methods.
1242,Labor and legality : an ethnography of a Mexican immigrant network / Ruth Gomberg-Muñoz.,"foreign workers, mexican--illinois--chicago--social conditions.|illegal aliens--illinois--chicago--social conditions.|mexicans--illinois--chicago--social conditions.|mexico--emigration and immigration--social aspects.|united states--emigration and immigration--social aspects."
1243,"Financing illegal migration : Chinese underground banks and human smuggling in New York City / Linda Shuo Zhao, Visiting Professor of Criminal Justice at the University of the District of Columbia, USA.","human smuggling--new york (state)--new york.|banks and banking, chinese--new york (state)--new york.|organized crime--china.|illegal aliens--new york (state)--new york.|chinese--new york (state)--new york--finance."
1244,The visitor [Images animées].,college teachers--united states--drama.|illegal aliens--united states--drama.|deportation--united states--drama.|colleges and universities--faculty--new york (state)--new york--drama.|widowers--new york (state)--new york--drama.|illegal aliens--new york (state)--new york--drama.|new york (n.y.)--drama.
1245,"Secure Border Initiative [electronic resource] : DHS has faced challenges deploying technology and fencing along the southwest border : statement for the Record to the Committee on Homeland Security and Governmental Affairs, U.S. Senate / statement for the Record of Richard M. Stana.",u.s. customs and border protection--information technology.|united states--boundaries--management.|illegal aliens--prevention--government policy--united states.
