title,subject
"Showdown in the Sonoran Desert [elektronische middelen] : religion, law, and the immigration controversy / Ananda Rose.",emigration and immigration--religious aspects--christianity.|immigrants--civil rights--united states.|illegal aliens--united states.|united states--emigration and immigration--religious aspects--christianity.|united states--emigration and immigration--government policy.|mexican-american border region--emigration and immigration.
Barrio Libre [electronic resource] : criminalizing states and delinquent refusals of the new frontier / Gilberto Rosas.,crime--mexican-american border region.|gangs--mexican-american border region.|youth--mexican-american border region--social conditions.|illegal aliens--mexican-american border region--social conditions.
Compassionate bastard : how an ordinary bloke came to manage Villawood Detention Centre and still live with himself / Peter Mitchell.,"mitchell, peter--(peter gordon),--1959-|villawood detention centre--history.|civil service--australia.|refugees--government policy--australia--history.|alien detention centers--australia--villawood (n.s.w.)--history.|illegal aliens--housing--australia--villawood (n.s.w.)--history.|australia--officials and employees--biography."
"Illégal / Film Movement presents ; a film written and directed by Olivier Masset-Depasse ; produced by Jacques Henri &amp; Olivier Bronckart ; a production of Versus Production in co-production with Iris Productions, Dharamsala, Prime Time, RTBF (Télévision Belge).",women illegal aliens--belgium--drama.|mothers and sons--drama.|detention of persons--belgium--drama.
Guía del migrante Mexico / Secretaría de Relaciones Exteriores.,"illegal aliens--mexican-american border region--handbooks, manuals, etc.|illegal aliens--health and hygiene--mexican-american border region.|desert survival--mexican-american border region--periodicals.|illegal aliens--civil rights--mexican-american border region.|mexican-american border region."
Philosophical arguments of membership : the case of undocumented immigrants and financial aid for postsecondary education / by Andre M. Perry.,illegal aliens--education (higher)--texas.|student aid--moral and ethical aspects--texas.
The economic impact of undocumented workers in Minnesota / by James J. Kielkopf.,foreign workers--economic aspects--minnesota.|illegal aliens--minnesota.|minnesota--economic conditions.
Criminal Alien Deportation Improvements Act of 1995 : report together with additional views (to accompany H.R. 668) (including cost estimate of the Congressional Budget Office).,"illegal aliens--united states.|violent crimes--united states.|criminal justice, administration of--united states.|deportation--united states."
Migration Legislation Amendment Bill (No 2) 1995 : report / by the Senate Legal and Constitutional Legislation Committee.,"australia.--parliament.--senate.--migration legislation amendment bill (no 2) 1994.|emigration and immigration law--australia.|illegal aliens--australia.|refugees--legal status, laws, etc.--australia."
"Officers need backup [electronic resource] : the role of state and local police in immigration law enforcement / by James R. Edwards, Jr.",illegal aliens--government policy--united states.|law enforcement--united states.|united states.--immigration and naturalization service.|emigration and immigration law--united states.
"Immigration Reform and Control Act of 1982 [electronic resource] : Mr. Rodino, from the Committee on the Judiciary, submitted the following report together with additional and dissenting views (to accompany H.R. 6514) (including cost estimate of the Congressional Budget Office).","emigration and immigration law--united states.|refugees--legal status, laws, etc.--united states.|united states.--immigration reform and control act of 1986.|illegal aliens--united states."
"Addressing the immigration status of illegal immigrants brought to the United States as children : hearing before the Subcommittee on Immigration and Border Security of the Committee on the Judiciary, House of Representatives, One Hundred Thirteenth Congress, first session, July 23, 2013.","emigration and immigration law--united states.|children of illegal aliens--legal status, laws, etc.--united states.|illegal aliens--united states.|children of illegal aliens--education (higher)--united states.|citizenship--united states."
Keep Our Communities Safe Act of 2011 [electronic resource] : report together with dissenting views (to accompany H.R. 1932) (including cost estimate of the Congressional Budget Office).,"detention of persons--united states.|deportation--united states.|alien criminals--legal status, laws, etc.--united states.|illegal aliens--legal status, laws, etc.--united states.|emigration and immigration law--united states."
Tuberculosis prevalence in a metropolitan correctional center / by Jose Antonio Pelayo.,tuberculosis--california--san diego--epidemiology.|prisoners--health and hygiene--california--san diego.|illegal aliens--health and hygiene--california--san diego.
Fast labour / by Steve Waters,labor market--corrupt practices--great britain--drama.|foreign workers--great britain--drama.|ukrainians--great britain--drama.|illegal aliens--great britain--drama.
Of myths and migration : illegal immigration into South Africa / Hussein Solomon.,illegal aliens--south africa.|south africa--emigration and immigration.
"Lost in detention [videorecording] / produced by Rick Young, Margaret Ebrahim, Catherine Rentz ; written and directed by Rick Young ; a Frontline production with American University School of Communication Investigative Reporting Workshop.",u.s. immigration and customs enforcement.|alien detention centers--united states.|illegal aliens--united states.
"Take out [videorecording] / Cavu Pictures presents a Cre Film production ; produced by Isil Bagdadi and Michael Sergio ; written and directed by Sean Baker, Shih-Ching Tsou.",illegal aliens--new york (state)--new york--drama.|chinese drama--new york (state)--new york.|usury--new york (state)--new york--drama.|debt--new york (state)--new york--drama.|delivery of goods--new york (state)--new york--drama.
Public opinion in Mexico on U.S. immigration : Zogby poll examines attitudes / by Steven A. Camarota.,"immigrants--united states--public opinion.|illegal aliens--united states--public opinion.|mexico--emigration and immigration--public opinion.|public opinion--mexico.|united states--foreign public opinion, mexican."
"Essays on legal and illegal immigration [Texte imprimé] / Susan Pozo, editor.",emigration and immigration law--united states--congresses.|illegal aliens--united states--congresses.
"Operation Gatekeeper and beyond [Texte imprimé] : the war on ""illegals"" and the remaking of the US-Mexico boundary / Joseph Nevins.",illegal aliens--government policy--united states.|border patrols--mexican-american border region.
"Belgique en sous-sol : immigration, traite et crime organisé / Frédéric Loore, Jean-Yves Tistaert ; préface de Sophie Jekeler.",illegal aliens--employment--belgium.|informal sector (economics)--belgium.|human trafficking--belgium.
"The EU, migration and the politics of administrative detention [Texte imprimé] / edited by Michela Ceccorulli and Nicola Labanca.",illegal aliens--government policy--european union countries.|alien detention centers--european union countries.|detention of persons--european union countries.|european union countries--emigration and immigration--government policy.
"Immigration Reform and Control Act of 1982 [electronic resource] : Mr. Rodino, from the Committee on the Judiciary, submitted the following report together with additional and dissenting views (to accompany H.R. 6514) (including cost estimate of the Congressional Budget Office).","emigration and immigration law--united states.|refugees--legal status, laws, etc.--united states.|united states.--immigration reform and control act of 1986.|illegal aliens--united states."
"Three case studies on the media coverage on forced displacement of population in contemporary India / editor, Samir Kumar Das.",forced migration--press coverage--india--jammu and kashmir--case studies.|illegal aliens--press coverage--india--west bengal--case studies.|illegal aliens--press coverage--india--assam--case studies.
Das Gesicht des Drachen : Roman / Jeffery Deaver ; Deutsch von Thomas Haufschild.,"rhyme, lincoln (fictitious character)--fiction.|police--new york (state)--new york--fiction.|chinatown (new york, n.y.)--fiction.|forensic scientists--fiction.|illegal aliens--fiction.|quadriplegics--fiction."
Türkiye'de kaçak göç / Ahmet İçduygu.,emigration and immigration.|illegal aliens--turkey.
Macho! [electronic resource] : a novel / Victor Villasenor.,illegal aliens--california--fiction.|agricultural laborers--california--fiction.|mexicans--california--fiction.
Reasons humbly offered for passing the bill for the better preventing the covering aliens goods imported ... [electronic resource].,aliens--great britain.|tariff--great britain--early works to 1800.
"Showdown in the Sonoran Desert [elektronische middelen] : religion, law, and the immigration controversy / Ananda Rose.",emigration and immigration--religious aspects--christianity.|immigrants--civil rights--united states.|illegal aliens--united states.|united states--emigration and immigration--religious aspects--christianity.|united states--emigration and immigration--government policy.|mexican-american border region--emigration and immigration.
"Unauthorized migration : addressing the root causes : research addendum / sponsored by the Commission for the Study of International Migration and Cooperative Economic Development, 1987-1990 ; to accompany the final report of the Commission Unauthorized migration: an economic development response.",united states--emigration and immigration--economic aspects.|mexico--emigration and immigration--economic aspects.|central america--emigration and immigration--economic aspects.|caribbean area--emigration and immigration--economic aspects.
"Fortress Europe. Death on the border [videorecording] / Sveriges Television ; Nordisk Film TV ; [director, Andreas Rocksén].",illegal aliens--european union countries.|border patrols--european union countries.|smuggling--european union countries.|european union countries--emigration and immigration--government policy.
"Removal of criminal and illegal aliens : hearing before the Subcommittee on Immigration and Claims of the Committee on the Judiciary, House of Representatives, One Hundred Fourth Congress, second session, September 5, 1996.",illegal aliens--united states.|alien criminals--united states.|deportation--united states.
Derechos humanos de los indocumentados / Loretta Ortiz Ahlf.,illegal aliens.|human rights.
"Field hearing on public benefits, employment, and immigration reform : hearing before the Committee on Economic and Educational Opportunities, House of Representatives, One Hundred Fourth Congress, second session, hearing held in San Diego, CA, February 22, 1996.","immigrants--services for--california, southern.|illegal aliens--california, southern.|emigration and immigration law--united states.|foreign worker certification--california, southern."
Morir en el intento [electronic resource] : la peor tragedia de inmigrantes en la historia de los Estados Unidos / Jorge Ramos.,human smuggling--mexican-american border region.|immigrants--crimes against--mexican-american border region.|illegal aliens--crimes against--mexican-american border region.|mexicans--crimes against--mexican-american border region.|latin americans--crimes against--mexican-american border region.|trucking--mexican-american border region.|mexico--emigration and immigration--social aspects.|united states--emigration and immigration--social aspects.|texas--emigration and immigration--social aspects.|mexican-american border region--social conditions.
"Reefer madness : sex, drugs, and cheap labor in the American black market / Eric Schlosser.",informal sector (economics)--united states--case studies.|black market--united states--case studies.|marijuana abuse--united states.|migrant agricultural laborers--california.|sex-oriented businesses--united states.|illegal aliens--california.
Cursed and blessed : examining the socioemotional and academic experiences of undocumented Latinao community college students / by Richard Douglas Cortés.,hispanic american college students.|hispanic americans--education (higher)|illegal aliens--education (higher)--united states.
"Strengthening enforcement and border security : the 9/11 Commission staff report on terrorist travel : joint hearing before the Subcommittee on Immigration, Border Security, and Citizenship and Subcommittee on Terrorism, Technology, and Homeland Security of the Committee on the Judiciary, United States Senate, One Hundred Ninth Congress, first session, March 14, 2005.",national commission on terrorist attacks upon the united states.--9/11 and terrorist travel.|border security--united states.|illegal aliens--government policy--united states.|immigration enforcement--united states.|visas--united states.|terrorism--united states--prevention.|united states--emigration and immigration--government policy.
"Intimate migrations : gender, family, and illegality among transnational Mexicans / Deborah A. Boehm",mexicans--united states--social conditions.|mexican americans--social conditions.|immigrants--united states--social conditions.|transnationalism.|sex role--united states.|mexican american families.|immigrant families--united states.|illegal aliens--united states.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.
Undocumented Mexicans in the United States / by David M. Heer.,mexicans--united states--social conditions.|mexican americans--social conditions.|illegal aliens--united states--social conditions.|immigrants--united states--social conditions.|mexico--emigration and immigration.|united states--emigration and immigration.
The Immigration Reform &amp; Control Act of 1986 : New York's response / New York State Inter-Agency Task Force on Immigration Affairs.,emigration and immigration law--united states.|illegal aliens--employment--new york (state)|aliens--new york (state)|discrimination in employment--new york (state)
"Rapport sur l'expulsion, le 18 octobre 1986, de 101 Maliens [microform] / [Yves Baudelot].",malians--france.|deportation--france.|illegal aliens--france.|france--emigration and immigration--government policy.
"A threat against Europe? : security, migration and integration / J. Peter Burgess and Serge Gutwirth (editors) ; cover design, Koloriet, Leefdaal ; book design, Crius Group, Hulshout ; contributors, Tugba Basaran, J. Peter Burgess, Jr̜gen Carling",national security--europe.|internal security--europe.|illegal aliens--europe.|globalization--social aspects.|electronic books.|europe--emigration and immigration.
Immigration and criminal law in the European Union : the legal measures and social consequences of criminal law in member states on trafficking and smuggling in human beings / edited by Elspeth Guild and Paul Minderhoud.,human smuggling--europe.|human trafficking--europe.|illegal aliens--europe.
Exploitation of labour through illicit and clandestine trafficking / by Halima E. Warzazi.,"migrant labor--legal status, laws, etc.|illegal aliens."
La perméabilité des frontières Cameroun-Nigeria : causes et conséquences dans le département de la Benoué : rapport de stage / présenté par Djatche Guillaume.,bénoué (cameroon)--economic conditions.|smuggling--cameroon--bénoué.|illegal aliens--cameroon--bénoué.|nigeria--boundaries--cameroon.|cameroon--boundaries--nigeria.
Paroles de sans-papiers / Bénédicte Goussault.,illegal aliens--france--interviews.|immigrants--france--interviews.
Transit-wellen : [autoradio-guide] / ein Projekt von Farida Heuck [and others] ; Bundesverband Schleppen &amp; Schleusen (schleuser.net) ; [Übersetzung: Susanne Kramer].,public spaces--germany--munich--exhibitions.|emigration and immigration--exhibitions.|illegal aliens--germany--exhibitions.|cd-roms.
"The rumor of trafficking [electronic resource] : border controls, illegal migration and the sovereignty of the nation-state / Diana Wong.",human trafficking.|human smuggling.|illegal aliens--malaysia.|malaysia--emigration and immigration.
El muro de la vergüenza : crónica de una tragedia en la frontera / Miguel Escobar Valdez.,human smuggling--mexican-american border region.|illegal aliens--crimes against--mexican-american border region.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.|mexican-american border region--social conditions.
"Frontiera Italia / Stefano Galieni, Antonella Patete ; introduzione di Enrico Pugliese.",illegal aliens--italy.|italy--emigration and immigration.
Operation Jobs : an evaluation / by Rodolfo O. de la Garza [and others].,foreign workers--united states.|illegal aliens--united states.|mexicans--employment--united states.|detention of persons--united states.
"Retorno a Hansala [videorecording] / una producción de Muac Films, Maestranza Films ; guión, Juan Carlos Rubio, Chus Gutiérrez ; productores, Carlos Santurio, Antonio Pérez, Chus Gutiérrez ; dirección, Chus Gutiérrez.",spaniards--morocco--drama.|drowning victims--spain--drama.|undertakers and undertaking--spain--drama.|illegal aliens--social aspects--morocco--drama.
"Rapport présent̀é a Monsieur Lloyd Axworthy, Ministre de l'Emploi et de l'Immigration, sur les immigrants illégaux au Canada / par W.G. Robinson.",illegal aliens--canada.|canada--emigration and immigration--government policy.
"A legal guide for INS detainees [electronic resource] : petitioning for release from indefinite detention / prepared by American Bar Association, Commission on Immigration Policy, Practice, and Pro Bono.","emigration and immigration law--united states--popular works.|habeas corpus--united states--popular works.|alien detention centers--united states--popular works.|illegal aliens--united states--handbooks, manuals, etc."
"Ausländerpolitik in Deutschland : Mechanismen, Manipulation, Missbrauch / Stefan Luft.",germany--emigration and immigration.|germany--ethnic relations.|germany--foreign relations.
"Slavery in Texas [microform] : illegal aliens, seafood and coyotes.",illegal aliens--texas.
Everyday illegal : when policies undermine immigrant families / Joanna Dreby.,children of immigrants--united states--case studies.|illegal aliens--united states--case studies.|immigrants--family relationships--united states--case studies.|united states--emigration and immigration--social aspects.
Human rights and the rights of aliens / by James W. Nickel.,aliens--civil rights.|illegal aliens.
Governing immigration through crime [ressource électronique] : a reader / edited by Julie A. Dowling and Jonathan Xavier Inda.,illegal aliens--government policy--united states.|illegal aliens--united states.|emigration and immigration law--united states.|united states--emigration and immigration--government policy.
The tortilla curtain / T. Coraghessan Boyle.,married people--california--los angeles--fiction.|illegal aliens--california--los angeles--fiction.|mexicans--california--los angeles--fiction.|large type books.|los angeles (calif.)--ethnic relations--fiction.
"Illégal [videorecording] / Versus production ; un film écrit et réalisé par Olivier Masset-Depasse ; produit par Jacques Henri &amp; Olivier Bronckart ; un production Versus Production en coproduction avec Iris Productions, Dharamsala, Prime Time, RTBF (Télévision Belge).",illegal aliens--belgium--drama.|deportation--belgium--drama.|blind--drama.|french language materials.|russian language materials.|italian language materials.|dvds.|dvd-video disc.
Poison blonde : an Amos Walker novel / Loren D. Estleman.,"walker, amos (fictitious character)--fiction.|private investigators--michigan--detroit--fiction.|illegal aliens--fiction.|women singers--fiction.|detroit (mich.)--fiction."
"The failure of IRCA to achieve its goals : legalization, policy, process, and minority participation / by William Arp, III.",united states.--immigration reform and control act of 1986.|emigration and immigration law--united states.|illegal aliens--arizona.|illegal aliens--united states.|united states--emigration and immigration--government policy.
Americans no more / Georgie Anne Geyer.,immigrants--united states.|illegal aliens--united states.|americanization.|citizenship--united states.
Transit migration in Romania [electronic resource].,romania--emigration and immigration.|romania--emigration and immigration--government policy.|immigrants--romania.|illegal aliens--romania.
Everyday illegal : when policies undermine immigrant families / Joanna Dreby.,children of immigrants--united states--case studies.|illegal aliens--united states--case studies.|immigrants--family relationships--united states--case studies.|united states--emigration and immigration--social aspects.
"Improving security and facilitating commerce at the southern border : hearing before the Subcommittee on Criminal Justice, Drug Policy, and Human Resources of the Committee on Government Reform, House of Representatives, One Hundred Seventh Congress, second session, February 22, 2002.",border patrols--arizona.|illegal aliens--arizona.|drug control--united states.|terrorism--united states--prevention.|united states--boundaries--mexico.|mexico--boundaries--united states.
"Politics by other means [electronic resource] : the ""why"" of immigration to the United States / by Fredo Arias-King.",united states--emigration and immigration--government policy.|united states--emigration and immigration--public opinion.|legislators--united states--attitudes.|immigrants--government policy--united states.|illegal aliens--government policy--united states.
"From the 9/11 hijackers to Amine el-Khalifi : terrorists and the visa overstay problem : hearing before the Subcommittee on Border and Maritime Security of the Committee on Homeland Security, House of Representatives, One Hundred Twelfth Congress, second session, March 6, 2012.",united states.--department of homeland security--rules and practice.|visas--government policy--united states.|illegal aliens--united states--identification.|terrorism--prevention--government policy--united states.
Indocumentados mexicanos / Patricia Morales.,"illegal aliens--united states.|foreign workers, mexican--united states.|united states--emigration and immigration.|mexico--emigration and immigration."
National insecurities [electronic resource] : immigrants and U.S. deportation policy since 1882 / Deirdre M. Moloney.,"united states--emigration and immigration--government policy--history.|immigrants--united states--social conditions.|women immigrants--legal status, laws, etc.--united states.|illegal aliens--government policy--united states--history.|deportation--united states--history.|electronic books."
El corrido de Dante / Eduardo González Viaña.,emigration and immigration--fiction.|illegal aliens--fiction.|united states--description and travel--fiction.|fantasy fiction.
"[Statements of Doris M. Meissner, acting commissioner Immigration and Naturalization Service concerning illegal aliens] / Doris M. Meissner.",illegal aliens--united states.|united states--emigration and immigration--government policy.
The Foreigner / Samaresh Majumdar ; translated by Manojit Mitra.,illegal aliens--fiction.|bengali fiction--translations into english.
Immigrants raising citizens : undocumented parents and their young children / Hirokazu Yoshikawa.,immigrant children--united states--social conditions.|immigrant children--new york (state)--new york--social conditions.|children of immigrants--united states--social conditions.|children of immigrants--new york (state)--new york--social conditions.|illegal aliens--united states--social conditions.|illegal aliens--new york (state)--new york--social conditions.|united states--emigration and immigration--social aspects.
"Benefits for illegal aliens [microform] : some program costs increasing, but total costs unknown : statement of Joseph F. Delfico, Director, Income Security Issues, Human Resources Division, before the Task Force on Illegal Immigration, Republican Research Committee, House of Representatives / United States General Accounting Office.",illegal aliens--services for--united states--costs.
Governor's Task Force on Undocumented Mexican Workers.,"foreign workers, mexican--texas.|illegal aliens--employment--texas.|texas--emigration and immigration."
The new nativism : Proposition 187 and the debate over immigration / Robin Dale Jacobson,illegal aliens--government policy--california--public opinion.|immigration opponents--california.|public opinion--california.|california--emigration and immigration--government policy--public opinion.|united states--emigration and immigration--government policy--history--20th century.
"Illegale Beschäftigung in Europa : die Situation in Privathaushalten älterer Personen = Illegal employment in Europe : the situation in private homes of the elderly / Christa Larsen, Angela Joost, Sabine Heid (Hrsg.).","household employees--europe.|illegal aliens--employment--europe.|foreign workers--legal status, laws, etc.--europe.|older people--care--europe."
"Irregular migration from Cambodia : characteristics, challenges and regulatory approach / Hing Vutha, Lun Pide and Phann Dalis.",cambodians--employment--foreign countries.|illegal aliens.|cambodia--emigration and immigration.|cambodia--emigration and immigration--law and legislation.
"Comprehensive immigration reform : government perspectives on immigration statistics (continued) : hearing before the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law of the Committee on the Judiciary, House of Representatives, One Hundred Tenth Congress, first session, June 19, 2007.",illegal aliens--united states--statistics.|immigrants--united states--statistics.|united states--emigration and immigration--statistics.|united states--emigration and immigration--forecasting.|united states--emigration and immigration--economic aspects--statistics.|social security--united states.
All you get is me / Yvonne Prinz.,farm life--california--fiction.|mexicans--united states--fiction.|migrant labor--fiction.|illegal aliens--fiction.|dating (social customs)--fiction.|grief--fiction.|california--fiction.
Defend the border! / by Thom Arthur Robb.,illegal aliens--united states.|illegal aliens--government policy--united states.|united states--boundaries--mexico.|united states--race relations.
Dünyada ve Türkiye'de : yasadışı göç / Emniyet Genel Müdürlüğü Yabancılar Hudut İltica Dairesi Başkanlıǧı.,turkey--emigration and immigration.|illegal aliens--turkey.|emigration and immigration.|illegal aliens.
"Impact of an alien verification system on assisted housing programs [microform] : joint hearing before the Subcommittee on Housing and Community Development of the Committee on Banking, Finance, and Urban Affairs and the Select Committee on Aging of the House of Representatives, Ninety-ninth Congress, second session, on H.R. 3810 ... August 6, 1986.",emigration and immigration law--united states.|aliens--housing--united states.|illegal aliens--united states.
"Crossing with the Virgin [electronic resource] : stories from the migrant trail / Kathryn Ferguson, Norma A. Price, and Ted Parks ; with forewords by Claudia Aburto Guzmán and John M. Fife.",illegal aliens--mexican-american border region.|humanitarian assistance--mexican-american border region.|border crossing--mexican-american border region.|united states--emigration and immigration--social aspects.|mexico--emigration and immigration--social aspects.|electronic books.
"Social security ""totalization"" : examining a lopsided agreement with Mexico / by Marti Dinerstein.","social security (international law)|social security--law and legislation--united states.|social security--law and legislation--mexico.|foreign workers, mexican--pensions--united states.|illegal aliens--united states.|united states--foreign economic relations--mexico.|mexico--foreign economic relations--united states."
"Poverty, international migration and asylum [electronic resource] / edited by George J. Borjas and Jeff Crisp.","emigration and immigration--economic aspects--congresses.|asylum, right of--economic aspects--congresses.|illegal aliens--economic aspects--congresses.|foreign workers--economic aspects--congresses.|immigrants--economic conditions--congresses.|electronic books."
"Derechos humanos de las personas migrantes : documentos básicos / compiladores, Manuel Vidaurri Aréchiga, Margarita Guadalupe Camacho Trujillo ; presentación, Rogelio Segundo Escobedo ; introducción, Diana Leticia Álvarez Hernández.","refugees--legal status, laws, etc.|refugees--legal status, laws, etc.--mexico.|illegal aliens.|illegal aliens--mexico.|migrant labor--legal status, laws, etc.|migrant labor--legal status, laws, etc.--mexico.|emigration and immigration law.|emigration and immigration law--mexico.|human rights."
"Segundo informe sobre las violaciones a los derechos humanos de los trabajadores migratorios mexicanos en su tránsito hacia la frontera norte, al cruzarla y al internarse en la franja fronteriza sur norteamericana / coord. Héctor Dávalos Martínez y Genoveva Roldán Dávila.","foreign workers, mexican--crimes against--mexican-american border region.|illegal aliens--crimes against--mexican-american border region.|human rights--mexican-american border region."
Hire : the employer's bulletin on immigration law.,foreign workers--united states--periodicals.|foreign worker certification--united states--periodicals.|illegal aliens--united states--periodicals.
"""Temporary"" alien workers in the United States : designing policy from fact and opinion / Sidney Weintraub and Stanley R. Ross.",foreign workers--government policy--united states.|illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.
Removals involving illegal alien parents of United States citizen children [electronic resource].,deportation--united states.|illegal aliens--family relationships--united states.|children of illegal aliens--united states.
"Paraiso travel [videorecording] / una produccion de Paraiso Pictures ; producida por Santiago Diaz, Alex Pereira, Juan Rendon, Isaac Lee ; guión por Juan Rendon y Jorge Franco ; director, Simon Brand.",man-woman relationships--drama.|illegal aliens--united states--drama.|colombians--new york (state)--new york--drama.|feature films--united states.|feature films--colombia.|feature films--latin america.
Preparation for the next life / Atticus Lish.,illegal aliens--fiction.|man-woman relationships--fiction.|veterans--united states--fiction.|post-traumatic stress disorder--fiction.|new york (n.y.)--fiction.|chinese--united states--fiction.
"Illegal immigration, crime and law enforcement's response in San Diego, California by the year 2000 / by William Skinner.",police administration--california--san diego.|illegal aliens--california--san diego.|multiculturalism--california--san diego.|intercultural communication--california--san diego.
"Postville, U.S.A. [electronic resource] : surviving diversity in small-town America / Mark A. Grey, Michele Devlin, and Aaron Goldsmith.","postville immigration raid, postville, iowa, 2008.|postville (iowa)--ethnic relations.|illegal aliens--legal status, laws, etc.--iowa--postville.|emigration and immigration law--united states.|united states--emigration and immigration--government policy."
"New immigrants, old unions : organizing undocumented workers in Los Angeles / Héctor L. Delgado.",water bed industry--employees--labor unions--california--los angeles.|water bed industry--california--los angeles--employees.|illegal aliens--employment--california--los angeles.
"Immigration reform [electronic resource] : employer sanctions and the question of discrimination / statement of Charles A. Bowsher, Comptroller General of the United States before the Committee on the Judiciary, United States Senate.","emigration and immigration law--united states.|foreign workers--united states.|illegal aliens--united states.|discrimination in employment--united states.|sanctions, administrative--united states."
Shadowed lives : undocumented immigrants in American society / Leo R. Chavez.,"illegal aliens--california--san diego county.|illegal aliens--california, southern."
Opening the floodgates [electronic resource] : why America needs to rethink its borders and immigration laws / Kevin R. Johnson.,emigration and immigration law--united states.|united states--emigration and immigration--government policy.|united states--boundaries.|illegal aliens--government policy--united states.
"Ishkālīyat al-hijrah ʻalá ḍawʼ al-qānūn raqm 02-03 al-mutaʻalliq bi-dukhūl wa-iqāmat al-ajānib bi-al-Mamlakah al-Maghribīyah wa-bi-al-hijrah ghayr al-mashrūʻah : ashghāl al-nadwah al-waṭanīyah allatī naẓẓamathā Wizārat al-ʻAdl wa-Wizārat al-Dākhilīyah Murrākush, yawmayy 19 wa 20 dujanbir 2003.",aliens--morocco--congresses.|emigration and immigration law--morocco--congresses.|illegal aliens--morocco--congresses.
Everyday clandestinity : experiences on the margins of citizenship and migration policies / Maja Sager.,"refugees--legal status, laws, etc.--sweden.|women refugees--legal status, laws, etc.--sweden.|illegal aliens--sweden.|emigration and immigration--emigration and immigration--sweden--government policy."
Detained and at risk : sexual abuse and harassment in United States immigration detention.,"u.s. immigration and customs enforcement--management--evaluation.|sex crimes--united states.|women illegal aliens--abuse of--united states.|women illegal aliens--crimes against--united states.|sexual harassment of women--united states.|women illegal aliens--legal status, laws, etc.--united states.|alien detention centers--united states.|immigration enforcement--united states.|human rights--united states."
"La gestione dei flussi migratori tra esigenze di ordine pubblico, sicurezza interna ed integrazione europea : atti del convegno del Dipartimento di diritto pubblico e di teoria e storia delle istituzioni, Università deglistudi di Salerno, 24 maggio 2012 / a cura di Angela Di Stasi e Luigi Kalb.",emigration and immigration law--european union countries--congresses.|illegal aliens--european union countries--congresses.|internal security--european union countries--congresses.
880-02 Gaikokujin rōdōsha mondai no seisaku to hō / Murashita Hiroshi cho.,aliens--japan.|foreign workers--japan.
Exploitation in the shadows : unauthorized Latina migrants tell their story / by Blanca Alvarado.,women illegal aliens--united states--social conditions.|central americans--united states--social conditions.|mexicans--united states--social conditions.
Walls of indifference : immigration and the militarization of the US-Mexico border / Nicole I. Torres.,arizona--emigration and immigration.|borderlands--arizona.|border security--social aspects--arizona.|illegal aliens--arizona--social conditions.|social conflict--arizona.
Undocumented immigration : an irritant or significant problem in U.S.-Mexico relations? / Georges Vernez.,illegal aliens--united states.|illegal aliens--government policy--united states.|mexicans--united states.|united states--emigration and immigration--government policy.
"New developments in immigration enforcement and compliance : leading lawyers on analyzing recent enforcement trends, collaborating with government agencies, and developing compliance programs.","emigration and immigration law--united states.|immigration enforcement--united states.|foreign workers--legal status, laws, etc.--united states.|illegal aliens--employment--united states.|foreign worker certification--united states."
Impossible subjects [electronic resource] : illegal aliens and the making of modern America / Mae M. Ngai.,illegal aliens--united states--history.|emigration and immigration law--united states--history.|citizenship--united states--history.
880-02 al-Hijrah ghayr al-sharʻīyah ilá Ūrūbā ʻabra buldān al-Maghrib al-ʻArabī / ʻAlī al-Ḥawwāt.,"illegal aliens--africa, north.|illegal aliens--european union countries.|africa, north--emigration and immigration.|european union countries--emigration and immigration."
The naked truth : US immigration / Jessy Cunha ; [translation by Ana Cristina Cosme Pinto].,emigration and immigration law.|illegal aliens.|united states.--immigration and naturalization service.
"Poverty, international migration and asylum / ed. by George J. Borjas and Jeff Crisp.","emigration and immigration--economic aspects--congresses.|asylum, right of--economic aspects--congresses.|illegal aliens--economic aspects--congresses.|foreign workers--economic aspects--congresses.|immigrants--economic conditions--congresses.|asylum, right of--economic aspects--congresses|emigration and immigration--economic aspects--congresses|illegal aliens--economic aspects--congresses|immigrants--economic conditions--congresses"
The beast [electronic resource] : riding the rails and dodging narcos on the migrant trail / &amp;#x83;Oscar Mart&amp;#x83;inez ; translated by Daniela Maria Ugaz and John Washington ; introduction by Francisco Goldman ; with a new afterword.,illegal aliens--mexico.|central americans--mexico.|immigrants--mexico.|mexico--emigration and immigration--social aspects.|central america--emigration and immigration--social aspects.
Illegal aliens [electronic resource] : their employment and employers / Barry R. Chiswick.,illegal aliens--employment--united states.
Border games [ressource électronique] : policing the U.S.-Mexico divide / Peter Andreas.,smuggling--mexican-american border region.|drug traffic--government policy--united states.|illegal aliens--government policy--united states.|border patrols--mexican-american border region.|boundaries.|mexican-american border region--economic conditions.|united states--boundaries--mexico.|mexico--boundaries--united states.
